CODE,TITLE,R1_POINTS_2019,R2_POINTS_2019,EOS_2019,MID_2019,R1_POINTS_2020,R2_POINTS_2020,EOS_2020,MID_2020,R1_POINTS_2021,R2_POINTS_2021
DK882,Agriculture (Award options)                       ,303,,303,358.0,310,,310,380,342,
DK883,Science (Award options)                           ,300,,300,369.0,358,321,300,370,373,368
DK884,Sustainable Agriculture                           ,,,,,,,,,348,
DK885,Agri-Food Production                              ,,,,,,,,,,
DK886,Biopharmaceutical Science                         ,,,,,301,,301,338,379,
DK887,Environmental Science                             ,,,,,330,,330,589,377,
DL821,English Media and Cultural Studies                ,211,,211,317.0,212,212,212,347,,
DL822,Arts Management                                   ,209,,209,319.0,229,229,235,337,254,
DL823,Business Studies - Entrepreneurship and Management,261,260,260,316.0,235,,237,325,220,
DL825,Applied Psychology                                ,370,360,349,413.0,379,,379,434,418,413
DL826,Visual Communication Design                       ,#736,,#736,989.0,#855,,855,1024,#591,
DL827,Art                                               ,#583,,#583,902.0,#572,,572,941,#574,
DL828,3D Design Modelmaking and Digital Art             ,#691,,#691,866.0,#506,,538,920,,
DL829,Design for Stage and Screen (Costume Design)      ,#847,#817,#817,1021.0,#593,,593,947,,
DL830,Design for Stage and Screen (Makeup Design)       ,#879,,#879,953.0,#939,,939,968,,
DL831,Design for Stage and Screen (Production Design)   ,#880,,#893,1073.0,#781,,781,1026,,
DL832,Animation                                         ,#855,,#855,1055.0,#920,,920,1022,#989,
DL833,Photography                                       ,#636,,#636,791.0,#650,,667,854,#671,#671
DL834,Film and Television Production                    ,#941,#939,#933,1011.0,#990,,990,1040,,
DL835,Creative Media Technologies                       ,220,,237,289.0,,,,,,
DL836,Creative Computing                                ,217,,217,326.0,219,,219,300,235,
DL837,New Media Studies                                 ,298,290,290,349.0,201,,201,316,298,293
DL838,Creative Music Production                         ,#746,,#746,873.0,#754,,754,972,#713,
DL839,Interaction and User Experience Design            ,,,,,#683,#683,683,990,#757,
DL840,Digital Marketing                                 ,,,,,228,228,228,327,210,
DL841,English and Equality Studies                      ,,,,,276,,276,341,277,277
DL843,Film                                              ,,,,,,,,,#987,#874
DL844,Television                                        ,,,,,,,,,#566,
DL845,Design for Film (degree options)                  ,,,,,,,,,#628,
DN100,Architecture                                      ,486,478,473,509.0,510,,510,541,555,
DN120,Landscape Architecture                            ,370,,353,403.0,407,,407,453,463,435
DN130,City Planning and Environmental Policy            ,388,381,367,421.0,407,400,390,432,445,424
DN150,Engineering (Common Entry)                        ,511,,511,554.0,531,521,520,565,565*,
DN200,Science (options)                                 ,521,,521,554.0,533,,533,567,577,567
DN201,Computer Science (Common Entry)                   ,488,,488,509.0,510,,510,542,554,549
DN230,Actuarial and Financial Studies                   ,577*,577*,577,589.0,601,,601,613,613*,613*
DN240,Sustainability                                    ,,,,,440,,440,498,510,
DN250,Agricultural Science (options)                    ,425,423,420,462.0,456,455,453,488,454,444
DN252,Dairy Business                                    ,398,,398,428.0,410,,410,455,,
DN253,Agri - Environmental Sciences                     ,403,,403,419.0,418,,413,443,,
DN261,Food Science                                      ,451,435,434,467.0,477,,476,495,531,
DN262,Human Nutrition                                   ,495,,493,510.0,531,,531,553,566,
DN271,Forestry                                          ,303,,303,361.0,311,,311,359,,
DN272,Horticulture Landscape and Sportsturf Management  ,252,,252,312.0,297,282,282,378,,
DN300,Veterinary Medicine - Undergraduate Entry         ,#567,,#567,589.0,#589,,589,602,#601*,
DN301,Veterinary Medicine - Graduate Entry              ,#,,#,,,,#,,,
DN310,Veterinary Nursing                                ,441,,441,487.0,478,477,466,489,521,509
DN400,Medicine - Undergraduate Entry (HPAT required)    ,#736,#735,#735,745.0,#737,#736*,736,748,#743*,
DN401,Medicine - Graduate Entry (GAMSAT required)       ,#59*,,#59*,61.0,,,58,61,#61*,
DN410,Radiography                                       ,509,508,507,522.0,534,532*,531,543,566*,566*
DN411,Radiography - Graduate Entry                      ,#,,#,,#,,#,,#,
DN420,Physiotherapy                                     ,548,543,542,555.0,578,577*,568,589,601*,601*
DN425,Health and Performance Science                    ,488,,488,509.0,510,509*,507,521,544,543
DN430,Sport and Exercise Management                     ,436,,436,455.0,455,445,433,455,484,476
DN440,Biomedical Health and Life Sciences               ,566,,565*,579.0,590,589*,589,601,613*,613*
DN450,General Nursing                                   ,398,,398,420.0,429*,424,421,445,462*,
DN451,Children`s and General Nursing (Integrated)       ,488,475,462*,499.0,509,506,499,529,533,
DN452,Midwifery                                         ,445,440,409,452.0,489,476,473,499,510,509*
DN453,Mental Health Nursing                             ,392,387,379,403.0,397,393,393,412,442,
DN520,Arts (Two Subjects)                               ,336,,336,408.0,310,,310,409,381,378
DN530,Humanities (options)                              ,348,,348,411.0,340,336,326,419,397,388
DN541,Modern Languages (options)                        ,368,,348,412.0,303,,300,443,320,
DN600,Law (options)                                     ,522,521,520*,532.0,546,544,543,566,576,567*
DN610,Business and Law                                  ,521,,521,543.0,545,,544,577,573,567
DN650,Commerce                                          ,498*,498*,498*,510.0,521*,521*,521,543,555,
DN660,Commerce International (options)                  ,509,,507,531.0,517,511,510,531,555,554*
DN670,Economics and Finance                             ,601,,601,601.0,613,,613,625,625*,625
DN700,Social Sciences (options)                         ,390,389,388,441.0,421,419,418,466,475,474
DN710,Economics                                         ,476,,476,488.0,498*,498*,498,510,534,532*
DN720,Psychology                                        ,517,,517,531.0,530,522*,522,543,566,564
DN750,Social Policy and Sociology                       ,330,,330,366.0,378,,377,408,421,
DT001,Product Design                                    ,433,,433,464.0,,,,,,
DT028,Transport Operations and Technology               ,279,,279,348.0,,,,,,
DT035,Electrical Services and Energy Management         ,293,,293,340.0,,,,,,
DT066,Engineering (General Entry)                       ,401,400,400,457.0,,,,,,
DT101,Architecture (test and interview)                 ,#618,,#618,647.0,,,,,,
DT106,Planning and Environmental Management             ,312,,312,337.0,,,,,,
DT110,Property Economics (Valuation Surveying)          ,367,,367,424.0,,,,,,
DT111,Quantity Surveying and Construction Economics     ,390,,391,421.0,,,,,,
DT112,Geographic Science                                ,287,,287,335.0,,,,,,
DT117,Construction Management                           ,356,,356,373.0,,,,,,
DT175,Architectural Technology                          ,388,,388,425.0,,,,,,
DT201,Science (General Entry)                           ,464,,464,477.0,,,,,,
DT203,Analytical Chemistry (Environmental Forensic and P,341,,341,403.0,,,,,,
DT204,Biomedical Science                                ,501,,501,512.0,,,,,,
DT205,Mathematical Sciences                             ,315,,315,363.0,,,,,,
DT206,Biomedical and Molecular Diagnostics              ,476,473,473,487.0,,,,,,
DT211,Computer Science (Infrastructure)                 ,381,,381,414.0,,,,,,
DT220,Industrial Mathematics                            ,300,,300,317.0,,,,,,
DT221,Physics with Energy and Environment               ,348,,348,436.0,,,,,,
DT222,Physics Technology                                ,321,,321,371.0,,,,,,
DT223,Human Nutrition and Dietetics                     ,553,,553,566.0,,,,,,
DT224,Optometry                                         ,498,,487,529.0,,,,,,
DT225,Public Health Nutrition                           ,440,,440,476.0,,,,,,
DT227,Science with Nanotechnology                       ,312,,312,361.0,,,,,,
DT228,Computer Science                                  ,451,,451,466.0,,,,,,
DT229,Clinical Measurement Science                      ,491,,491,509.0,,,,,,
DT235,Physics with Medical Physics and Bioengineering   ,357,,357,403.0,,,,,,
DT282,Computer Science (International)                  ,377,,377,402.0,,,,,,
DT299,Chemical Sciences with Medicinal Chemistry        ,420,,420,445.0,,,,,,
DT302,Business Analytics                                ,325,,325,403.0,,,,,,
DT304,E-Commerce in Retailing                           ,341,,341,388.0,,,,,,
DT321,Business and Law                                  ,462,,462,478.0,,,,,,
DT341,Marketing                                         ,400,,400,419.0,,,,,,
DT343,Retail and Services Management                    ,301,,301,332.0,,,,,,
DT354,Business Computing                                ,322,,322,341.0,,,,,,
DT358,Logistics and Supply Chain Management             ,300,,300,359.0,,,,,,
DT365,Business and Management                           ,440,,440,456.0,,,,,,
DT366,Accounting and Finance                            ,432,,432,454.0,,,,,,
DT398,Human Resource Management                         ,375,,375,388.0,,,,,,
DT399,Economics and Finance                             ,437,,437,465.0,,,,,,
DT401,International Hospitality Management              ,300,,300,337.0,,,,,,
DT405,Culinary Science                                  ,308,,308,377.0,,,,,,
DT407,Culinary Arts                                     ,271,,271,342.0,,,,,,
DT412,Tourism Marketing                                 ,284,,284,322.0,,,,,,
DT413,Event Management                                  ,356,,356,389.0,,,,,,
DT416,Culinary Entrepreneurship                         ,275,,275,339.0,,,,,,
DT420,Nutraceuticals in Health and Nutrition            ,392,,392,432.0,,,,,,
DT421,Food Innovation                                   ,321,,321,366.0,,,,,,
DT422,Pharmaceutical Healthcare                         ,397,,397,423.0,,,,,,
DT491,Environmental Health                              ,343,,343,380.0,,,,,,
DT501,Music                                             ,#383,,#383,520.0,,,,,,
DT504,Film and Broadcasting                             ,443,,443,467.0,,,,,,
DT506,Commercial Modern Music                           ,#583,#536,#468,835.0,,,,,,
DT508,Game Design                                       ,403,,403,454.0,,,,,,
DT517,Languages and English Studies                     ,419,358,326,419.0,,,,,,
DT518,Languages and International Tourism               ,307,,307,357.0,,,,,,
DT529,Drama (Performance)                               ,#371,,#371,519.0,,,,,,
DT532,Law (LL.B.)                                       ,429,422,422,441.0,,,,,,
DT533,Contemporary Visual Culture                       ,261,,#,,,,,,,
DT544,Interior Design                                   ,#552,,#552,866.0,,,,,,
DT545,Design - Visual Communication                     ,#667,,#667,897.0,,,,,,
DT546,Fine Art                                          ,#668,,#668,813.0,,,,,,
DT555,International Business and Languages              ,353,,353,399.0,,,,,,
DT559,Photography                                       ,#700,,#700,926.0,,,,,,
DT571,Social Care                                       ,394,,394,424.0,,,,,,
DT572,Early Childhood Education                         ,385,,385,403.0,,,,,,
DT582,Journalism                                        ,346,,347,373.0,,,,,,
DT596,Print Media Technology and Management             ,252,,252,311.0,,,,,,
DT597,Creative and Cultural Industries                  ,280,,280,369.0,,,,,,
GA181,Accounting                                        ,303,,303,378.0,309,,309,403,303,
GA182,Business                                          ,290,,290,347.0,287,,287,347,285,
GA183,Business Information Systems                      ,309,,309,373.0,296,,296,356,298,
GA184,Marketing and Sales                               ,307,,307,348.0,307,,307,357,300,
GA185,Finance and Economics                             ,307,,307,398.0,293,,293,392,318,
GA186,Business with Entrepreneurship                    ,293,,297,328.0,280,,280,356,287,
GA187,Rural Enterprise and Agri-Business (Mountbellew Ca,280,,280,367.0,281,,281,352,291,
GA281,Film and Documentary                              ,287,,287,360.0,304,,304,379,310,301
GA282,Heritage Studies                                  ,238,,238,308.0,220,,220,281,252,
GA283,Contemporary Art                                  ,260,,260,340.0,#679,,679,870,#790,
GA284,Design                                            ,309,,309,377.0,303,,303,356,331,
GA285,Education (Art  Design and Graphics)              ,,,,,,,,,406,
GA380,International Hotel Management                    ,225,,225,289.0,242,,242,330,218,
GA381,International Tourism Management                  ,261,,261,290.0,278,,278,350,252,
GA382,Culinary and Gastronomic Science                  ,225,,225,316.0,206,,206,337,235,
GA384,Event Management with Public Relations            ,209,,209,289.0,212,,212,328,230,
GA385,Retail Management                                 ,219,,219,319.0,,,,,,
GA480,Construction Management                           ,260,,260,312.0,260,,260,336,302,
GA482,Quantity Surveying and Construction Economics     ,280,,280,340.0,288,,288,350,304,
GA483,Architectural Technology                          ,251,,251,321.0,265,,265,337,281,273
GA484,Civil Engineering                                 ,270,,270,362.0,290,,290,383,377,
GA580,Software and Electronic Engineering               ,301,,301,351.0,300,,300,393,300,
GA680,Mechanical Engineering                            ,336,,336,389.0,330,,330,401,400,
GA681,Energy Engineering                                ,281,,281,328.0,293,,293,366,312,
GA682,Biomedical Engineering                            ,331,,331,383.0,313,,313,393,331,
GA683,Agricultural Engineering                          ,301,,301,365.0,309,,309,385,304,
GA684,Engineering (Common entry to Agri/Biomed/Energy/Me,346,,346,406.0,340,,340,405,413,
GA685,Manufacturing Engineering Design                  ,,,,,309,,309,379,336,
GA780,Applied Freshwater and Marine Biology             ,300,,300,360.0,327,,327,377,366,
GA781,Applied Biology and Biopharmaceutical Science     ,317,,317,376.0,337,,337,390,381,
GA782,Chemical and Pharmaceutical Science               ,307,,307,346.0,336,,336,388,356,
GA783,Physics and Instrumentation                       ,373,,373,378.0,363,,363,408,301,
GA784,Science (Undenominated)                           ,325,,327,377.0,372,,372,403,445,
GA785,Medical Science                                   ,451,,451,486.0,473,,473,500,517,510
GA786,Forensic Science and Analysis                     ,300,,300,366.0,317,,317,387,408,
GA787,Computing in Software Development                 ,275,,275,327.0,270,,270,315,310,
GA788,Computing and Digital Media                       ,270,,270,327.0,274,,282,356,270,
GA789,Agriculture and Environmental Management (Mountbel,297,,297,339.0,287,,289,371,340,
GA790,Sport and Exercise Science                        ,350,,350,379.0,356,,356,409,376,366
GA791,Public Health Nutrition                           ,364,,364,397.0,368,,368,409,368,
GA880,General Nursing - Mayo Campus                     ,391,,389*,400.0,429*,422*,422,441,440*,
GA882,Psychiatric Nursing - Mayo Campus                 ,346,,346,370.0,367,,367,377,369,
GA885,Outdoor Education - Mayo Campus                   ,210,,210,298.0,252,,252,262,269,
GA887,History and Geography - Mayo Campus               ,228,,228,296.0,244,,244,380,201,
GA889,Applied Social Care - Mayo Campus                 ,260,,260,297.0,266,,266,298,265,
GA890,Early Childhood Care and Education - Mayo Campus  ,276,,278,319.0,270,,270,327,281,227
GA891,Geography and Outdoor Education                   ,,,,,244,,244,391,261,
GA892,Community Development and Youth Work (Level 8)    ,,,,,,,,,,
GA980,Education (Design Graphics and Construction) - Let,376,,376,389.0,377,,377,411,410,
GA981,Furniture Design and Manufacture - Letterfrack Cam,271,,271,350.0,,,,,346,
GA982,Furniture and Wood Technology - Letterfrack Campus,270,,270,352.0,,,,,360,
GA983,Furniture and Digital Manufacturing               ,,,,,,,,,,
GA984,Furniture Design  Making and Technology - Common E,,,,,284,,284,369,486,467
GC200,Business Studies (Cork)                           ,310,269,269,359.0,252,252,252,369,269,242
GC201,Accounting and Finance (Cork)                     ,251,251,251,388.0,303,303,303,388,260,226
GC230,Computing Science (Cork)                          ,327,228,228,327.0,335,325,325,393,300,289
GC250,Communications and Media Production               ,,,,,,,,,,
GC300,Business Studies (Limerick)                       ,251,,251,302.0,429,,390,432,264,264
GC301,Accounting and Finance                            ,307,,307,314.0,253,253,253,346,,251
GC302,Business Studies - (HRM Limerick)                 ,,,269,269.0,,,,,377,377
GC305,International Hospitality Management (Limerick)   ,,327,327,327.0,253,253,253,253,,
GC307,Business (Marketing)                              ,,,,,,,,,289,270
GC400,Business Studies (Dublin)                         ,271,246,246,297.0,248,248,248,281,250,228
GC401,Accounting and Finance (Dublin)                   ,246,243,181,309.0,240,227,202,343,242,242
GC402,Business Studies (HRM Dublin)                     ,282,,217,290.0,264,236,218,236,,
GC403,Law (Dublin)                                      ,251,225,225,308.0,244,228,228,328,245,242
GC405,International Hospitality Management (Dublin)     ,254,,254,272.0,,,,,,
GC407,Business Studies (Marketing Dublin)               ,263,,246,330.0,280,280,218,321,264,264
GC430,Computing Science (Dublin)                        ,254,242,217,269.0,252,220,220,298,251,251
GC450,Journalism and Visual Media (Dublin)              ,227,227,227,307.0,254,254,254,280,225,225
GC462,Design Communication (Dublin)                     ,,,,,,,,,#300,
GC489,Interior Architecture (Dublin)                    ,#441,,#267,361.0,#254,,254,301,#288,#274
GC494,Fashion Design (Dublin)                           ,#AQA,#AQA,#,,#337,#217,217,412,#351,
GY101,Arts (Joint-Honours)                              ,300,,300,374.0,300,,300,391,327,326
GY104,Arts (Psychology)                                 ,509,507,507,529.0,523,520,519,542,564,555
GY105,Arts (History)                                    ,318,,318,358.0,301,,301,377,357,
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin)      ,330,,330,397.0,409,,409,456,,
GY109,Arts (Mathematics and Education)                  ,411,,411,487.0,403,,403,466,413,
GY110,Arts with Children s Studies                      ,382,,382,409.0,357,,357,418,387,
GY111,Arts with Creative Writing                        ,402,,402,472.0,330,,330,492,421,420
GY112,Arts with Film Studies                            ,338,,338,370.0,321,,321,399,,
GY113,Arts with Human Rights                            ,338,,338,409.0,368,,368,422,413,
GY115,Arts with Performing Arts Studies                 ,328,,328,367.0,387,,387,443,300,
GY118,Arts (Drama Theatre and Performance Studies)      ,410,,410,451.0,451,,451,492,453,430
GY119,Journalism                                        ,410,,410,475.0,400,,400,465,484,473
GY120,Arts (Child Youth and Family: Policy and Practice),309,,309,346.0,350,,350,397,,
GY121,Arts (Children s Studies)                         ,356,,356,389.0,356,,356,419,,
GY122,Na Dána (Cumarsáid agus Gaeilge)                  ,308,,308,399.0,361,,361,453,410,
GY123,BSc (Applied Social Sciences)                     ,356,,357,388.0,358,,358,410,419,
GY124,Arts (Arts with Data Science)                     ,434,,434,466.0,454,,454,490,,
GY125,Arts (Digital Arts and Technology)                ,324,,324,379.0,328,,328,347,403,
GY126,Arts (English and Media Studies)                  ,418,,418,451.0,391,,391,462,,
GY127,Arts (Film and Digital Media)                     ,387,,387,435.0,401,,401,462,430,421
GY128,Arts (Global Languages)                           ,370,,370,440.0,352,,352,476,346,
GY129,Arts (International)                              ,408,,408,477.0,420,,420,462,465,
GY130,Arts (Music)                                      ,400,,400,444.0,408,,408,495,462,
GY131,Arts (History and Globalisation Studies)          ,340,,340,431.0,360,,360,440,,
GY132,Government (Politics Economics and Law)           ,402,,402,444.0,407,,407,435,465,451
GY133,Education (Computer Science and Mathematical Studi,401,,401,466.0,422,,422,498,454,
GY134,Geography and Geosystems                          ,,,,,410,,410,445,425,
GY135,Arts (Global Media)                               ,,,,,,,,,442,
GY136,Na Dána (Léann Teanga - options)                  ,,,,,,,,,526,
GY201,Commerce                                          ,422,420,420,453.0,433,,433,466,476,
GY202,Commerce (International) with French              ,484,,484,513.0,484,,484,511,520,
GY203,Commerce (International) with German              ,489,,489,541.0,489,,489,566,518,
GY204,Commerce (International) with Spanish             ,484,,484,500.0,495,,495,511,506,
GY206,Business Information Systems (Work Placement & Opt,431,,431,445.0,465,,465,488,509,
GY207,Commerce (Accounting) including optional Global Ex,486,,486,510.0,509,,509,543,543,
GY208,Commerce (Gaeilge)                                ,473,,473,488.0,473,,473,511,508,
GY209,Commerce (Global Experience)                      ,509,,509,531.0,530,,530,554,551,
GY250,Law & Business                                    ,436,,436,467.0,487,,487,510,510,
GY251,Law                                               ,473,,473,498.0,499,,499,518,542,
GY252,Law & Human Rights                                ,510,,510,521.0,520,,520,541,565,
GY253,Law and Taxation                                  ,,,,,509,,509,543,506,
GY254,Law (BCL)  Criminology and Criminal Justice       ,,,,,530,,530,554,548,
GY261,Business Studies (International Hotel Management S,#486,,#486,615.0,#497,,497,611,#503,
GY262,Commerce (International Hotel Management Shannon) ,#671,,#671,726.0,#681,,681,724,#709,
GY301,Science                                           ,400,,400,456.0,433,432,432,487,489,488
GY303,Biomedical Science                                ,533,,533,566.0,556,,556,589,613,
GY304,Biotechnology                                     ,473,,473,507.0,465,,465,498,498,495
GY308,Environmental Science                             ,413,,413,440.0,408,,408,484,431,430
GY309,Financial Mathematics and Economics               ,454,,454,498.0,487,,487,532,509,
GY310,Marine Science                                    ,409,,409,456.0,419,,419,476,467,
GY313,Environmental Health and Safety                   ,402,,402,435.0,412,,412,440,412,
GY314,Earth and Ocean Sciences                          ,402,,402,425.0,403,,403,444,422,
GY318,Biopharmaceutical Chemistry                       ,510,,510,532.0,509,,509,542,555,
GY319,Mathematical Science                              ,455,,456,531.0,476,,476,566,543,
GY320,Physics (Degree options: Applied Astrophysics Biom,401,,401,487.0,402,,402,478,465,
GY321,Genetics and Genomics                             ,,,,,508,,508,532,532,
GY322,Agricultural Sciences                             ,,,,,,,,,485,
GY350,Computer Science and Information Technology       ,425,,425,466.0,403,,403,454,495,
GY401,Engineering (Undenominated)                       ,444,,444,499.0,465,,465,511,522,520
GY402,Civil Engineering                                 ,509,,509,543.0,455,,455,499,533,521
GY405,Mechanical Engineering                            ,443,,443,499.0,454,,454,509,541,
GY406,Electronic and Computer Engineering               ,509,,509,547.0,510,,510,544,555,
GY408,Biomedical Engineering                            ,519,,519,543.0,509,,509,554,554,
GY410,Project and Construction Management               ,434,,434,464.0,403,,403,456,431,
GY413,Energy Systems Engineering                        ,532,,532,589.0,502,,502,531,509,
GY414,Electrical and Electronic Engineering             ,454,,454,487.0,405,,405,429,433,
GY501,Medicine (five year/six year course HPAT required),#726*,,#726*,731.0,#728*,,728,731,#737*,#737*
GY502,Occupational Therapy                              ,532,,532,543.0,555,,555,567,601,
GY503,Speech and Language Therapy                       ,532,,529,543.0,543,,543,554,578,
GY504,Podiatric Medicine                                ,434,,434,463.0,443,,443,476,531,526
GY515,General Nursing (Galway and Portiuncula)          ,442,,442,466.0,476,473,473,496,502,496
GY516,Mental Health Nursing                             ,402,388,388,413.0,440,,440,467,475,441
GY517,Midwifery                                         ,440,429,429,468.0,495,,495,518,520,509
ID001,Accounting and Finance                            ,229,,229,291.0,203,,203,253,,
ID002,Business Studies                                  ,285,,285,366.0,294,,294,309,,
ID003,Business Studies with Chinese                     ,,,,,,,,,,
LC110,Art and Design (Common Entry portfolio)           ,#734,,#734,918.0,#740,,740,961,#794,
LC114,Fashion and Textiles for Product and Costume (port,#900,,#900,988.0,#880,,880,1029,#914,
LC115,Art and Design Teacher Education (portfolio)      ,,,,,#942,,942,1013,#993,
LC220,Digital Marketing                                 ,254,,254,288.0,262,,262,298,263,
LC223,Law and Taxation                                  ,307,,308,372.0,307,,307,356,331,
LC224,Accounting and Finance                            ,300,298,299,382.0,300,,300,371,300,
LC225,Marketing and Management                          ,298,,298,337.0,298,,298,358,298,
LC226,Enterprise and Innovation                         ,243,216,216,298.0,234,234,234,310,255,
LC233,Software Development                              ,300,,300,371.0,272,,272,339,280,
LC234,Interactive Digital Media                         ,219,,219,288.0,225,,225,307,226,
LC236,Internet Systems Development                      ,309,298,298,319.0,262,260,260,272,260,
LC239,Computer Networks and Systems Management          ,335,,335,347.0,307,,309,371,317,
LC241,Construction Management                           ,276,,276,303.0,255,,255,338,326,
LC242,Property Valuation and Management                 ,292,,292,328.0,282,,282,320,308,
LC243,Quantity Surveying                                ,288,281,281,360.0,294,,298,362,278,
LC248,Built Environment (Common Entry)                  ,307,,307,350.0,288,,288,376,300,
LC252,Civil Engineering Management                      ,281,,281,331.0,270,,270,308,264,
LC263,Clinical Technology                               ,282,,282,359.0,294,,294,359,391,
LC265,Forensic and Pharmaceutical Sciences              ,335,,335,368.0,413,,413,476,498,
LC266,Drug and Medicinal Product Analysis               ,236,,236,299.0,262,,262,300,252,
LC275,Electrical Engineering                            ,288,,288,340.0,298,,298,384,361,347
LC288,Mechanical Engineering                            ,307,,307,360.0,347,346,346,415,378,369
LC289,Precision Engineering                             ,304,280,280,369.0,291,,291,350,261,
LC292,Social Care Work                                  ,360,,360,389.0,367,,367,389,374,
LC293,Business Studies with Travel and Tourism Managemen,299,,299,326.0,307,,307,356,271,264
LC294,Business Studies with Event Management            ,271,,271,300.0,279,,279,347,279,
LC295,Business Studies with Sports Management           ,263,,263,298.0,252,,252,313,262,
LC297,Community Development                             ,217,,217,269.0,235,,235,298,272,262
LC320,Business                                          ,338,337,337,378.0,346,,346,388,381,
LC330,Business with Computing                           ,298,,298,326.0,297,,297,378,328,308
LC340,Interior Design                                   ,308,298,298,349.0,350,,350,391,391,368
LC362,Biotechnology and Biopharmaceutical Sciences      ,379,,379,402.0,413,,413,440,429,
LC371,Creative Broadcast and Film Production            ,313,293,298,339.0,309,,309,378,325,310
LC372,Music Technology and Production                   ,357,321,321,369.0,325,,325,402,377,
LC374,Renewable and Electrical Energy Engineering       ,351,317,317,368.0,318,,318,410,337,319
LC375,Industrial Automation & Robotic Systems           ,321,,321,368.0,317,,317,392,309,
LC376,Electronic Engineering                            ,308,,308,346.0,318,,318,358,357,
LC380,Automotive Engineering and Transport Management   ,300,282,282,329.0,303,298,298,337,298,
LC392,Beauty and Spa Management                         ,252,217,217,318.0,236,,236,328,328,317
LC393,Early Childhood Education & Care                  ,270,260,260,309.0,236,,236,307,309,276
LC401,Early Childhood Education & Care (Thurles)        ,337,298,298,387.0,297,,297,298,,
LC402,Social Care Work (Thurles)                        ,209,,209,290.0,225,,225,288,228,
LC408,Environmental and Geographical Sciences (Thurles) ,262,,262,346.0,279,,279,348,279,
LC411,Marketing and Management (Thurles)                ,300,226,226,300.0,,,,,,
LC414,Data Analytics and Cyber Security                 ,,,,,236,,236,336,,
LC416,Business                                          ,,,,,274,,274,391,260,
LC418,Computing - Games Design and Development (Thurles),279,271,271,318.0,270,,270,338,260,256
LC422,Sports Strength and Conditioning (Thurles)        ,308,288,288,333.0,298,,298,347,289,
LC434,Environmental Management in Agriculture (Thurles) ,278,,278,347.0,297,,297,349,,
LC502,Game Art and Design (Clonmel portfolio)           ,#838,,#838,950.0,#852,,852,1024,#841,
LC517,Creative Media and Design (Clonmel)               ,229,,229,273.0,234,,234,327,279,
LC518,Digital Animation Production (Clonmel portfolio)  ,#816,,#816,962.0,#808,,808,939,#807,
LC612,Social Care Work (Ennis)                          ,319,,319,338.0,320,,320,343,309,
LC613,Early Childhood Education & Care (Ennis)          ,346,,346,388.0,242,,242,327,,
LM002,Arts (offered in conjunction with Mary Immaculate ,329,,329,388.0,348,,348,410,360*,360
LM019,Social Sciences                                   ,,,,,,,,,451,
LM020,Law and Accounting                                ,436,,436,476.0,465,,465,499,474,
LM026,Performing Arts (audition required)               ,#307,,#307,367.0,#303,,303,401,#329,
LM028,Criminal Justice                                  ,387,,387,409.0,418,,418,440,420,
LM029,Law Plus                                          ,473,,473,499.0,490,,490,521,530,
LM038,Psychology and Sociology                          ,478,,478,489.0,500,,500,507,530,
LM039,Journalism and New Media                          ,388,,388,430.0,402,,402,455,432,
LM040,European Studies                                  ,348,,350,462.0,369,,369,488,409,
LM044,Applied Languages                                 ,404,,404,473.0,442,,442,499,429,
LM050,Business Studies                                  ,419,,419,455.0,431,,431,476,451,
LM056,International Business                            ,511,,511,543.0,528,,528,555,555*,
LM058,Financial Mathematics                             ,434,,434,543.0,403,,403,521,468,
LM063,Technology Management                             ,372,,372,409.0,379,,379,419,410,
LM066,Environmental Science                             ,,,,,,,,,430,
LM068,Food Science and Health                           ,400,,400,430.0,421,,421,454,464*,
LM076,Product Design and Technology (portfolio required),#402,,#402,466.0,#408,,408,487,#401,
LM077,Aeronautical Engineering                          ,469,,469,531.0,520,,520,554,567,
LM082,Construction Management and Engineering           ,368,,368,404.0,398,,398,434,446*,
LM089,Sport and Exercise Sciences                       ,444,441,441,466.0,474,,474,489,498*,
LM090,Physical Education with concurrent Teacher Educati,498*,,498*,520.0,532*,,532,565,552,544*
LM091,Languages with concurrent Teacher Education       ,,,,,517,,517,543,506,
LM092,Science with Teacher Ed (Biology with Physics/Chem,478,,478,509.0,507,,507,531,521,
LM093,Equine Science                                    ,338,,338,381.0,339,,339,412,367,
LM094,Materials and Architectural Technology with concur,409,405,405,433.0,440,,440,478,475,
LM095,Materials and Engineering Technology with concurre,358,,358,409.0,367,,367,421,425,
LM096,Science with Teacher Ed (Physical Sciences with Ch,382,,382,422.0,405,,405,454,454,
LM097,Mathematics and Computer Science with concurrent T,,,,,402,,402,509,465,
LM099,Architecture (portfolio required)                 ,#418,,#419,473.0,498,,498,532,520,
LM100,Physiotherapy                                     ,565*,,565*,577.0,589*,,589,601,613*,
LM101,Medicine - Graduate Entry (GAMSAT required)       ,,,#55*,57.0,#55*,,55,57,#57*,
LM102,Psychology                                        ,498*,495,495,519.0,509,,509,529,534,
LM103,Paramedic Studies (B and C1 Drivers Licence)      ,#313,,#313,403.0,#392,,392,445,#429,
LM105,Exercise and Health Fitness Management            ,,,,,,,,,441,
LM115,Chemical and Biochemical Engineering              ,456,,456,520.0,454,,454,532,476,
LM116,Engineering (Biomedical/Civil/Design and Manufactu,434,,434,498.0,476*,,476,521,498*,
