CODE,TITLE,R1_POINTS_2019,R1_POINTS_2020,R1_POINTS_2021
GY121,Arts (Children s Studies)                         ,356,356,
GY122,Na Dána (Cumarsáid agus Gaeilge)                  ,308,361,410
GY123,BSc (Applied Social Sciences)                     ,356,358,419
GY124,Arts (Arts with Data Science)                     ,434,454,
GY125,Arts (Digital Arts and Technology)                ,324,328,403
GY126,Arts (English and Media Studies)                  ,418,391,
GY127,Arts (Film and Digital Media)                     ,387,401,430
GY128,Arts (Global Languages)                           ,370,352,346
GY129,Arts (International)                              ,408,420,465
GY130,Arts (Music)                                      ,400,408,462
GY131,Arts (History and Globalisation Studies)          ,340,360,
GY132,Government (Politics Economics and Law)           ,402,407,465
GY133,Education (Computer Science and Mathematical Studi,401,422,454
GY134,Geography and Geosystems                          ,,410,425
GY135,Arts (Global Media)                               ,,,442
GY136,Na Dána (Léann Teanga - options)                  ,,,526
GY201,Commerce                                          ,422,433,476
GY202,Commerce (International) with French              ,484,484,520
GY203,Commerce (International) with German              ,489,489,518
GY204,Commerce (International) with Spanish             ,484,495,506
GY206,Business Information Systems (Work Placement &amp;,t,t,509
GY207,Commerce (Accounting) including optional Global Ex,486,509,543
GY208,Commerce (Gaeilge)                                ,473,473,508
GY209,Commerce (Global Experience)                      ,509,530,551
GY250,Law &amp; Business                                ,,487,510
GY251,Law                                               ,473,499,542
GY252,Law &amp; Human Rights                            ,,520,565
GY253,Law and Taxation                                  ,,509,506
GY254,Law (BCL)  Criminology and Criminal Justice       ,,530,548
GY261,Business Studies (International Hotel Management S,#486,#497,#503
GY262,Commerce (International Hotel Management Shannon) ,#671,#681,#709
GY301,Science                                           ,400,433,489
GY303,Biomedical Science                                ,533,556,613
GY304,Biotechnology                                     ,473,465,498
GY308,Environmental Science                             ,413,408,431
GY309,Financial Mathematics and Economics               ,454,487,509
GY310,Marine Science                                    ,409,419,467
GY313,Environmental Health and Safety                   ,402,412,412
GY314,Earth and Ocean Sciences                          ,402,403,422
GY318,Biopharmaceutical Chemistry                       ,510,509,555
GY319,Mathematical Science                              ,455,476,543
GY320,Physics (Degree options: Applied Astrophysics Biom,401,402,465
GY321,Genetics and Genomics                             ,,508,532
GY322,Agricultural Sciences                             ,,,485
GY350,Computer Science and Information Technology       ,425,403,495
GY401,Engineering (Undenominated)                       ,444,465,522
GY402,Civil Engineering                                 ,509,455,533
GY405,Mechanical Engineering                            ,443,454,541
GY406,Electronic and Computer Engineering               ,509,510,555
GY408,Biomedical Engineering                            ,519,509,554
GY410,Project and Construction Management               ,434,403,431
GY413,Energy Systems Engineering                        ,532,502,509
GY414,Electrical and Electronic Engineering             ,454,405,433
GY501,Medicine (five year/six year course HPAT required),#726*,#728*,#737*
GY502,Occupational Therapy                              ,532,555,601
GY503,Speech and Language Therapy                       ,532,543,578
GY504,Podiatric Medicine                                ,434,443,531
GY515,General Nursing (Galway and Portiuncula)          ,442,476,502
GY516,Mental Health Nursing                             ,402,440,475
GY517,Midwifery                                         ,440,495,520
ID001,Accounting and Finance                            ,229,203,
ID002,Business Studies                                  ,285,294,
ID003,Business Studies with Chinese                     ,,,
LC110,Art and Design (Common Entry portfolio)           ,#734,#740,#794
LC114,Fashion and Textiles for Product and Costume (port,#900,#880,#914
LC115,Art and Design Teacher Education (portfolio)      ,,#942,#993
LC220,Digital Marketing                                 ,254,262,263
LC223,Law and Taxation                                  ,307,307,331
LC224,Accounting and Finance                            ,300,300,300
LC225,Marketing and Management                          ,298,298,298
LC226,Enterprise and Innovation                         ,243,234,255
LC233,Software Development                              ,300,272,280
LC234,Interactive Digital Media                         ,219,225,226
LC236,Internet Systems Development                      ,309,262,260
LC239,Computer Networks and Systems Management          ,335,307,317
LC241,Construction Management                           ,276,255,326
LC242,Property Valuation and Management                 ,292,282,308
LC243,Quantity Surveying                                ,288,294,278
LC248,Built Environment (Common Entry)                  ,307,288,300
LC252,Civil Engineering Management                      ,281,270,264
LC263,Clinical Technology                               ,282,294,391
LC265,Forensic and Pharmaceutical Sciences              ,335,413,498
LC266,Drug and Medicinal Product Analysis               ,236,262,252
LC275,Electrical Engineering                            ,288,298,361
LC288,Mechanical Engineering                            ,307,347,378
LC289,Precision Engineering                             ,304,291,261
LC292,Social Care Work                                  ,360,367,374
LC293,Business Studies with Travel and Tourism Managemen,299,307,271
LC294,Business Studies with Event Management            ,271,279,279
LC295,Business Studies with Sports Management           ,263,252,262
LC297,Community Development                             ,217,235,272
LC320,Business                                          ,338,346,381
LC330,Business with Computing                           ,298,297,328
LC340,Interior Design                                   ,308,350,391
LC362,Biotechnology and Biopharmaceutical Sciences      ,379,413,429
LC371,Creative Broadcast and Film Production            ,313,309,325
LC372,Music Technology and Production                   ,357,325,377
LC374,Renewable and Electrical Energy Engineering       ,351,318,337
LC375,Industrial Automation &amp; Robotic Systems       ,,317,309
LC376,Electronic Engineering                            ,308,318,357
LC380,Automotive Engineering and Transport Management   ,300,303,298
LC392,Beauty and Spa Management                         ,252,236,328
LC393,Early Childhood Education &amp; Care              ,,236,309
LC401,Early Childhood Education &amp; Care (Thurles)    ,,297,
LC402,Social Care Work (Thurles)                        ,209,225,228
LC408,Environmental and Geographical Sciences (Thurles) ,262,279,279
LC411,Marketing and Management (Thurles)                ,300,,
LC414,Data Analytics and Cyber Security                 ,,236,
LC416,Business                                          ,,274,260
LC418,Computing - Games Design and Development (Thurles),279,270,260
LC422,Sports Strength and Conditioning (Thurles)        ,308,298,289
LC434,Environmental Management in Agriculture (Thurles) ,278,297,
LC502,Game Art and Design (Clonmel portfolio)           ,#838,#852,#841
LC517,Creative Media and Design (Clonmel)               ,229,234,279
LC518,Digital Animation Production (Clonmel portfolio)  ,#816,#808,#807
LC612,Social Care Work (Ennis)                          ,319,320,309
LC613,Early Childhood Education &amp; Care (Ennis)      ,,242,
LM002,Arts (offered in conjunction with Mary Immaculate ,329,348,360*
LM019,Social Sciences                                   ,,,451
LM020,Law and Accounting                                ,436,465,474
LM026,Performing Arts (audition required)               ,#307,#303,#329
LM028,Criminal Justice                                  ,387,418,420
LM029,Law Plus                                          ,473,490,530
LM038,Psychology and Sociology                          ,478,500,530
LM039,Journalism and New Media                          ,388,402,432
LM040,European Studies                                  ,348,369,409
LM044,Applied Languages                                 ,404,442,429
LM050,Business Studies                                  ,419,431,451
LM056,International Business                            ,511,528,555*
LM058,Financial Mathematics                             ,434,403,468
LM063,Technology Management                             ,372,379,410
LM066,Environmental Science                             ,,,430
LM068,Food Science and Health                           ,400,421,464*
LM076,Product Design and Technology (portfolio required),#402,#408,#401
LM077,Aeronautical Engineering                          ,469,520,567
LM082,Construction Management and Engineering           ,368,398,446*
LM089,Sport and Exercise Sciences                       ,444,474,498*
LM090,Physical Education with concurrent Teacher Educati,498*,532*,552
LM091,Languages with concurrent Teacher Education       ,,517,506
LM092,Science with Teacher Ed (Biology with Physics/Chem,478,507,521
LM093,Equine Science                                    ,338,339,367
LM094,Materials and Architectural Technology with concur,409,440,475
LM095,Materials and Engineering Technology with concurre,358,367,425
LM096,Science with Teacher Ed (Physical Sciences with Ch,382,405,454
LM097,Mathematics and Computer Science with concurrent T,,402,465
LM099,Architecture (portfolio required)                 ,#418,498,520
LM100,Physiotherapy                                     ,565*,589*,613*
LM101,Medicine - Graduate Entry (GAMSAT required)       ,,#55*,#57*
LM102,Psychology                                        ,498*,509,534
LM103,Paramedic Studies (B and C1 Drivers Licence)      ,#313,#392,#429
LM105,Exercise and Health Fitness Management            ,,,441
LM115,Chemical and Biochemical Engineering              ,456,454,476
LM116,Engineering (Biomedical/Civil/Design and Manufactu,434,476*,498*
LM118,Electronic and Computer Engineering               ,401,403,445
LM121,Computer Science (Computer Systems/Games Dev/Mobil,352,351,402
LM122,Creative Media and Interaction Design (Digital Des,330,327,382
LM123,Biological &amp; Chemical Sciences (Biosci/Envir S,I,I,498*
LM124,Mathematics (Math Science/Maths and Physics/Econom,427,437,455
LM125,Physics (Applied Physics/Mathematics and Physics) ,405,),489
LM150,General Nursing                                   ,440*,475*,498*
LM152,Mental Health Nursing                             ,398,419*,478
LM154,Intellectual Disability Nursing                   ,381*,420,462
LM156,Midwifery                                         ,429,469,521*
LY108,Business - Accounting                             ,318,309,312
LY118,Business                                          ,287,290,288
LY128,Marketing with Online Technologies                ,,,261
LY208,Law                                               ,300,300,300
LY218,Business - with Spanish/Irish options             ,298,,
LY228,Sports and Exercise (Common Entry)                ,278,300,290
LY408,Design (Common Entry)                             ,#307,#320,#301
LY508,Fire Safety Engineering                           ,270,276,283
LY518,Quantity Surveying                                ,307,301,304
LY528,Construction Management                           ,270,271,262
LY538,Architectural Technology                          ,,,234
LY608,Mechanical Engineering                            ,304,300,300
LY618,Electronics and Embedded Systems                  ,307,312,321
LY708,Applied Computing                                 ,300,306,320
LY748,Computer Science                                  ,,317,316
LY818,Science (Common Entry)                            ,302,303,302
LY828,Agriculture (Common Entry)                        ,300,307,308
LY908,General Nursing                                   ,389*,400*,429*
LY918,Psychiatric Nursing                               ,329,357*,367*
LY928,Intellectual Disability Nursing                   ,298,326*,357
LY968,Early Childhood Care Health and Education         ,300,303,288
LY978,Health &amp; Social Care (Common Entry)           ,,,279
MH001,Education - Primary Teaching (Froebel)            ,499,507,564
MH002,Education - Primary Teaching - Gaeltacht Applicant,#,,
MH003,Early Childhood - Teaching and Learning (full-time,,,381
MH101,Arts                                              ,316,318,338
MH103,Music                                             ,#,#,#
MH106,Psychology - 3 years                              ,495,521,554
MH107,Social Science                                    ,326,346,390
MH109,Media Studies                                     ,317,316,324
MH116,Community and Youth Work (Full-Time)              ,#,#,#
MH201,Science                                           ,351*,360,401
MH202,Biotechnology                                     ,429,455,490
MH203,Biological and Geographical Sciences              ,,430,451
MH204,Physics with Astrophysics                         ,420,422,422
MH206,Theoretical Physics and Mathematics               ,498,510,521
MH207,Data Science                                      ,434,445,444
MH208,Biological and Biomedical Sciences                ,462*,498,543
MH209,Psychology (through Science) - 4 years            ,477,498,529
MH210,Pharmaceutical and Biomedical Chemistry           ,452,487,510
MH212,Science/Computer Science/Mathematics (with Educati,451,;,452
MH304,Engineering (Computer/Electronic/Communications)  ,371,333,351
MH305,Product Design                                    ,358,357,326
MH306,Robotics and Intelligent Devices                  ,361,361,362
MH401,Finance (options)                                 ,352,357,370
MH402,Quantitative Finance                              ,476,476,476
MH403,Accounting and Finance                            ,402,422,424
MH404,Business (options)                                ,400,430,441
MH405,Equine Business                                   ,357,357,
MH407,Business and Accounting                           ,401,420,423
MH411,Entrepreneurship                                  ,357,371,378
MH501,LLB Law - four year Single Major Law programme    ,451,473,507
MH502,Law (options)                                     ,410,451,465
MH601,Computer Science through Arts (options)           ,342,352,381
MH602,Computer Science through Science (options)        ,352,351,400
MH603,Computational Thinking                            ,520,532,520
MH801,Early Childhood - Teaching and Learning (part-time,347,327,AQA
MH802,Community and Youth Work (part-time in service    ,,#,
MH803,Local Studies or Community Studies (part-time even,,#,
MI001,Contemporary &amp; Applied Theatre Studies        ,,,209
MI002,Arts (offered in conjunction with the University o,300,300,280
MI004,Education - Primary Teaching - International      ,,577,589
MI005,Education - Primary Teaching                      ,473*,495,522
MI006,Education - Primary Teaching (Gaeltacht Applicants,#442,#456,#485
MI007,Early Childhood Care and Education                ,366,357,409
MI008,Education and Psychology - Primary Teaching       ,554,588,590
MI009,Education Business Studies and Accounting (Thurles,392,402,434
MI010,Education Business Studies and Religious Studies (,326,368,370
MI011,Education Irish and Religious Studies (Thurles Cam,377,409,407
MI012,Education Irish and Business Studies (Thurles Camp,398,401,387
MI013,Education Mathematics and Gaeilge (Thurles Campus),433,444,509
MI014,Education  Mathematics and Business Studies       ,,434,476
MU001,Theology and Arts                                 ,300,290,294
MU002,Theology                                          ,308,440,
NC003,Computing (Degree Award options)                  ,261,260,271
NC005,Human Resource Management                         ,297,300,301
NC009,Business                                          ,297,300,300
NC010,Psychology                                        ,360,400,420
NC020,Marketing Practice                                ,270,280,270
NC022,Accounting and Finance                            ,338,337,330
NC023,Technology Management (with specialisations)      ,260,261,266
NC025,Data Science                                      ,AQA,,
NC030,Early Childhood Education and Care                ,,,251
NM801,Montessori Education                              ,,220,262
NM802,Psychology                                        ,,,228
PC405,Social Political and Community Studies            ,276,253,263
PC410,Arts and Humanities (fulfils Teaching Council requ,278,252,262
PC411,English and History (fulfils Teaching Council requ,270,255,243
RC001,Medicine - Undergraduate Entry (HPAT required)    ,#729*,#733,#741
RC004,Physiotherapy                                     ,542,566,589*
RC005,Pharmacy                                          ,565,579,613*
RC101,Medicine - Graduate Entry (GAMSAT required)       ,#60*,,
SG141,Business                                          ,252,261,262
SG142,Business in International Marketing and Sales with,270,279,
SG144,Business in International Marketing and Sales with,280,270,
SG145,Business and ICT                                  ,,,279
SG146,Accounting                                        ,307,309,304
SG147,Sport with Business                               ,269,307,288
SG148,Tourism with Event Management                     ,246,269,298
SG149,Business in Finance and Investment                ,262,,
SG150,Business in Marketing                             ,,,298
SG241,Performing Arts                                   ,279,328,341
SG242,Early Childhood Care and Education                ,278,279,287
SG243,Social Care Practice                              ,297,301,309
SG244,Fine Art                                          ,#355,#505,#501
SG245,Creative Design                                   ,254,282,332
SG246,Computing                                         ,295,290,316
SG247,English and Psychology                            ,306,309,319
SG248,Sociology and Politics                            ,282,281,298
SG249,Writing and Literature                            ,279,297,308
SG250,Application Design and User Experience            ,290,412,
SG251,Computing (Smart Technologies)                    ,289,327,
SG252,Software Development                              ,300,307,310
SG253,Computer Networks and Cloud Infrastructure        ,273,324,336
SG254,Writing and Literature Online                     ,,225,327
SG255,Law and Business                                  ,,,291
SG341,General Engineering                               ,,,373
SG342,Civil Engineering                                 ,,415,418
SG343,Quantity Surveying                                ,261,311,300
SG344,Mechanical Engineering                            ,,,412
SG346,Construction Project Management and Applied Techno,286,291,313
SG347,Architecture                                      ,345,360,403
SG348,Interior Architecture and Design                  ,,316,359
SG349,Electronics and Self Driving Technologies         ,,,
SG350,Robotics and Automation                           ,,,384
SG441,Environmental Science                             ,297,,
SG442,Occupational Safety and Health                    ,289,290,307
SG443,Human Nutrition                                   ,357,356,376
SG444,Science (Undenominated)                           ,308,338,358
SG445,Pharmaceutical Science with Drug Development      ,339,311,357
SG446,Applied Archaeology                               ,289,,
SG447,Health Science and Physical Activity              ,316,328,326
SG448,Forensic Investigation and Analysis               ,306,306,308
SG449,Medical Biotechnology                             ,329,341,315
SG450,Environmental Science with Ecology (Level 8)      ,,300,310
TA022,Creative Digital Media                            ,271,,
TA023,Advertising and Marketing Communications          ,235,,
TA024,Early Childhood Care and Education                ,217,,
TA025,Social Care Practice                              ,261,,
TA026,International Hospitality and Tourism Management  ,208,,
TA027,Botanical Cuisine                                 ,236,,
TA028,Digital Marketing Technologies                    ,287,,
TA121,Accounting and Finance                            ,202,,
TA122,Management                                        ,218,,
TA123,Marketing Management                              ,207,,
TA125,International Business                            ,229,,
TA221,Electronic Engineering                            ,251,,
TA222,Mechanical Engineering                            ,260,,
TA223,Sustainable Energy Engineering                    ,236,,
TA224,Biomedical Design                                 ,243,,
TA225,Automation Engineering                            ,245,,
TA226,Engineering Software                              ,254,,
TA321,Pharmaceutical Science                            ,261,,
TA322,Computing                                         ,195,,
TA323,Computing with IT Management                      ,243,,
TA326,DNA and Forensic Analysis                         ,300,,
TA327,Sports Science and Health                         ,341,,
TA328,Computing with Language (French/German/Spanish)   ,262,,
TA329,Computing with Data Analytics                     ,218,,
TL801,Animation Visual Effects and Motion Design        ,281,281,#718
TL802,TV Radio and New Media                            ,306,325,322
TL803,Music Technology                                  ,264,,
TL810,Computing with Software Development               ,309,310,308
TL811,Computing with Games Development                  ,309,358,322
TL812,Computing with Digital Media                      ,369,,
TL815,Computing (Degree Award options)                  ,308,308,307
TL823,Event Management (3 year programme)               ,291,299,293
TL831,Business Studies (Major Specialism in: Acctng or M,307,306,306
TL842,Construction Management                           ,,,
TL844,Agricultural Engineering                          ,311,300,301
TL845,Civil Engineering                                 ,300,325,361
TL847,Manufacturing Engineering                         ,,302,305
TL848,Agricultural Science                              ,331,308,307
TL851,Wildlife Biology (Degree Award options)           ,308,309,309
TL855,Pharmaceutical Science (Degree Award options)     ,342,317,316
TL858,Veterinary Bioscience                             ,326,308,317
TL871,Health and Leisure (Degree Award options)         ,303,300,303
TL872,Health and Leisure with Massage                   ,288,309,314
TL873,Coaching and Sports Performance                   ,282,289,308
TL874,Inclusive Sport and Physical Activity             ,,,341
TL880,Early Childhood Care and Education                ,307,307,309
TL881,Social Care                                       ,308,308,301
TL889,Counselling with Addiction - Mature applicants onl,,#,
TL890,General Nursing and Mature Applicants             ,407*,440*,463
TL891,Mental Health Nursing and Mature Applicants       ,378,389,440
TR002,Music                                             ,#435,435,508
TR003,History                                           ,486,497,552
TR004,Law                                               ,533,566,590*
TR005,Philosophy                                        ,433,442,510
TR006,Psychology                                        ,565,567,601*
TR007,Clinical Speech and Language Studies              ,509,529,564*
TR009,Music Education                                   ,#430,#420,#496
TR012,History and Political Science                     ,543,555,
TR015,Philosophy Political Science Economics and Sociolo,566,589,613*
TR016,Deaf Studies                                      ,357,340,389
TR017,Law and Business                                  ,576,602,
TR018,Law and French                                    ,543,565,602*
TR019,Law and German                                    ,523,543,577
TR020,Law and Political Science                         ,567,602,
TR021,Classics Ancient History and Archaeology          ,409,370,467
TR022,Early and Modern Irish                            ,347,398,377
TR023,English Studies                                   ,497,487,546
TR024,European Studies                                  ,520,544,566
TR025,Drama and Theatre Studies                         ,#495,#564,#543
TR028,Ancient and Medieval History and Culture          ,399,342,498
TR029,Political Science and Geography                   ,497*,526,
TR031,Mathematics                                       ,566,531,579
TR032,Engineering                                       ,497,510,556
TR033,Computer Science                                  ,467,509,566*
TR034,Management Science and Information Systems Studies,589*,613*,625*
TR035,Theoretical Physics                               ,565,543,590
TR038,Engineering with Management                       ,522,532,589*
TR039,Computer Science and Language                     ,456,454,443
TR040,Middle Eastern and European Languages and Cultures,485,466,520
TR041,Religion                                          ,347,368,417
TR042,Film                                              ,,489,531
TR043,History of Art and Architecture                   ,,393,498
TR051,Medicine (HPAT required)                          ,#730,#735*,#743*
TR052,Dental Science                                    ,590*,613*,625*
TR053,Physiotherapy                                     ,542*,566*,590*
TR054,Occupational Therapy                              ,521,533,578*
TR055,Radiation Therapy                                 ,518,543,577
TR056,Human Health and Disease                          ,543,565,601*
TR060,Biological and Biomedical Sciences                ,520*,543*,578*
TR061,Chemical Sciences                                 ,499,517,558
TR062,Geography and Geoscience                          ,435*,473,495
TR063,Physical Sciences                                 ,510,498*,554
TR064,Environmental Science and Engineering             ,,,555
TR072,Pharmacy                                          ,567,590,613*
TR080,Global Business                                   ,566*,589*,613*
TR081,Business Economic and Social Studies (BESS)       ,520*,543*,577
TR082,Computer Science and Business                     ,510,555,
TR083,Sociology and Social Policy                       ,462,498,
TR084,Social Studies (Social Work)                      ,441,462*,497
TR085,Business Studies and French                       ,509,540,564
TR086,Business Studies and German                       ,474,509,530
TR087,Business Studies and Russian                      ,474,474,487
TR089,Business Studies and Polish                       ,393,444,391
TR090,Business Studies and Spanish                      ,518,531*,566
TR091,General Nursing (Meath and St James`s)            ,402,429,462
TR093,General Nursing (Adelaide School of Nursing)      ,#394,#430,#473
TR095,Mental Health Nursing                             ,361,408,442
TR097,Intellectual Disability Nursing                   ,347,396,412
TR911,Children`s and General Nursing (Integrated)       ,485,511,531*
TR913,Midwifery                                         ,444,478,521
TU801,Biomedical Design                                 ,,235,235
TU802,Electrical Services and Energy Management         ,,317,309
TU803,Electronic Engineering                            ,,243,
TU804,Engineering (Common Entry with Award options)     ,,271,270
TU805,Engineering (General Entry)                       ,,402,466
TU806,Sustainable Energy Engineering                    ,,262,
TU807,Computer Engineering in Mobile Systems            ,,276,274
TU808,Engineering Software                              ,,260,
TU809,Mechanical Engineering                            ,,235,
TU810,Mechatronic Engineering                           ,,270,271
TU811,Product Design                                    ,,411,440
TU812,Design Technology and Innovation                  ,,270,278
TU813,Automation Engineering                            ,,218,
TU814,Transport Operations and Technology               ,,285,253
TU828,Mechanical Engineering (General Entry)            ,,,300
TU829,Electronic Engineering (General Entry)            ,,,248
TU831,Architectural Technology                          ,,410,423
TU832,Architecture (Suitability Test and Interview)     ,,#622,#644
TU833,Construction Management                           ,,367,396
TU834,Geographic Science                                ,,288,315
TU835,Planning and Environmental Management             ,,313,330
TU836,Property Economics (Valuation Surveying)          ,,401,411
TU837,Quantity Surveying and Construction Economics     ,,385,413
TU838,Sustainable Timber Technology                     ,,,307
TU851,Analytical Chemistry (Environmental Forensic and P,,349,400
TU852,Chemical Sciences with Medicinal Chemistry        ,,476,477
TU854,Science (General Entry)                           ,,476,510
TU855,Science with Nanotechnology                       ,,331,322
TU856,Computer Science                                  ,,476,499
TU857,Computer Science (Infrastructure)                 ,,391,403
TU858,Computer Science (International)                  ,,377,395
TU859,Computing                                         ,,217,251
TU860,Computing (Information Technology)                ,,260,270
TU861,Computing with Language (French/German/Spanish)   ,,308,235
TU862,Computing with Data Analytics                     ,,226,262
TU863,Digital Forensics and Cyber Security              ,,280,282
TU864,DNA and Forensic Analysis                         ,,400,500
TU865,Computing with IT Management                      ,,226,235
TU866,Biomedical and Molecular Diagnostics              ,,487,522
TU867,Biomedical Science                                ,,524,576
TU868,Clinical Measurement Science                      ,,510,542
TU869,Environmental Health                              ,,336,387
TU870,Human Nutrition and Dietetics                     ,,578,601*
TU871,Optometry                                         ,,509,532
TU872,Public Health Nutrition                           ,,491,487
TU873,Industrial Mathematics                            ,,250,
TU874,Mathematical Sciences                             ,,341,294
TU875,Pharmaceutical Healthcare                         ,,400,451
TU876,Pharmaceutical Science                            ,,377,445
TU877,Physics Technology                                ,,308,314
TU878,Physics with Energy and Environment               ,,337,339
TU879,Physics with Medical Physics and Bioengineering   ,,351,346
TU880,Physics with Data Science                         ,,578,412
TU881,Food Innovation                                   ,,318,309
TU882,Nutraceuticals in Health and Nutrition            ,,397,380
TU901,Business                                          ,,270,
TU902,Business (Common Entry with Award options)        ,,271,270
TU903,Business and Management                           ,,463,477
TU904,Business and Law                                  ,,462,462
TU905,Economics and Finance                             ,,465,460
TU906,Human Resource Management                         ,,395,386
TU907,Logistics and Supply Chain Management             ,,300,300
TU908,Management                                        ,,262,
TU909,Accounting and Finance                            ,,285,
TU910,Accounting and Finance                            ,,444,420
TU911,Accounting and Finance                            ,,209,
TU912,Business Analytics                                ,,330,331
TU913,Business and Information Technology               ,,252,
TU914,Business Computing                                ,,324,322
TU915,International Business                            ,,252,
TU916,International Business                            ,,235,
TU917,Law (LLB ) with a Language                        ,,342,356
TU918,Law (LLB)                                         ,,451,463
TU919,Advertising and Marketing Communications          ,,228,219
TU920,Digital Marketing                                 ,,270,270
TU921,Digital Marketing Technologies                    ,,212,230
TU922,Marketing                                         ,,418,412
TU923,Marketing Management                              ,,228,
TU924,E-Commerce in Retailing                           ,,307,307
TU925,Retail and Services Management                    ,,301,307
TU932,Business (options)                                ,,,211
TU933,Accounting and Finance (campus options)           ,,,251
TU935,Sports Management and Coaching                    ,,300,300
TU936,Sports Science and Health                         ,,410,484
TU941,Botanical Cuisine                                 ,,249,311
TU942,Culinary Arts                                     ,,212,252
TU943,Culinary Entrepreneurship                         ,,278,261
TU944,Culinary Science                                  ,,316,336
TU951,International Hospitality and Tourism Management  ,,184,244
TU952,International Hospitality Management              ,,300,309
TU953,Tourism and Digital Marketing                     ,,290,308
TU954,Event Management                                  ,,356,326
TU955,Sports &amp; Leisure Management                   ,,,275
TU961,Commercial Modern Music                           ,,#608,#536
TU962,Drama (Performance)                               ,,#379,#448
TU963,Music                                             ,,#416,#364
TU965,International Business and Languages              ,,356,357
TU966,Languages and English Studies                     ,,366,
TU967,Languages and International Tourism               ,,308,298
TU971,Contemporary Visual Culture                       ,,290,
TU972,Creative and Cultural Industries                  ,,281,
TU973,Design - Visual Communication                     ,,#717,#700
TU974,Fine Art                                          ,,#709,#549
TU975,Interior Design                                   ,,#632,#544
TU976,Photography                                       ,,#695,#700
TU978,Creative Industries and Visual Culture            ,,,299
TU981,Creative Digital Media                            ,,280,280
TU982,Creative Digital Media                            ,,320,369
TU983,Film and Broadcasting                             ,,456,462
TU984,Game Design                                       ,,381,414
TU985,Journalism                                        ,,322,367
TU986,Print Media Technology and Management             ,,289,
TU989,Early Childhood Care and Education (campus options,,,270
TU991,Applied Social Studies in Social Care             ,,325,326
TU992,Community and Youth Development                   ,,251,251
TU993,Early Childhood Care and Education                ,,270,
TU994,Early Childhood Care and Education                ,,321,
TU995,Early Childhood Education                         ,,367,378
TU996,Social Care                                       ,,400,407
TU997,Applied Social Care                               ,,310,320
WD001,Applied Computing (options)                       ,279,260,270
WD002,Science (options)                                 ,302,308,279
WD005,Health Sciences (options)                         ,288,280,271
WD006,Exercise Sciences (options)                       ,282,280,270
WD007,Engineering (options)                             ,AQA,288,270
WD025,Construction Management and Engineering           ,269,269,262
WD027,Music                                             ,#AQA,#262,#321
WD048,Business (options)                                ,278,271,279
WD084,Accounting                                        ,307,308,308
WD091,Hospitality Management                            ,210,228,225
WD116,General Nursing                                   ,413,422,446
WD117,Psychiatric Nursing                               ,361,366,415
WD120,Intellectual Disability Nursing                   ,338,377,390
WD134,International Business                            ,289,290,267
WD137,Design (Visual Communications)                    ,AQA,271,252
WD140,Laws                                              ,290,280,280
WD144,Architecture                                      ,AQA,284,309
WD147,Pharmaceutical Science                            ,298,293,288
WD148,Tourism Marketing                                 ,269,,
WD149,Early Childhood Studies                           ,288,271,
WD150,Criminal Justice Studies                          ,271,270,280
WD152,Visual Art                                        ,AQA,AQA,243
WD161,Computer Forensics and Security                   ,AQA,255,270
WD162,Quantity Surveying                                ,260,216,226
WD163,Psychology                                        ,390,434,456
WD186,Sports Coaching and Performance                   ,276,270,261
WD187,Social Science                                    ,271,272,276
WD191,Agricultural Science                              ,378,377,377
WD192,Social Care Practice                              ,279,270,271
WD193,Marketing and Digital Media                       ,290,271,279
WD194,Culinary Arts                                     ,AQA,217,237
WD195,Architectural and Building Information Modelling T,266,279,279
WD200,Arts (options)                                    ,AQA,AQA,201
WD210,Software Systems Development                      ,271,279,260
WD211,Creative Computing                                ,275,271,270
WD212,Recreation and Sport Management                   ,274,270,262
WD230,Mechanical and Manufacturing Engineering          ,273,253,230
WD231,Early Childhood Care and Education                ,,,266
WD232,Business Information Systems                      ,,,261
